fork,pr,status,findings,verdict,agents_run,agents_failed,tokens_in,tokens_out,seconds,log
celmis-bench/grafana,7,complete,1,approve,structural|tests|architect|quality|security,-,29412,13960,70.5,review-celmis-bench_grafana_7.log
celmis-bench/grafana,8,partial,3,comment,structural|tests|quality,security|architect,5414,9580,116.1,review-celmis-bench_grafana_8.log
celmis-bench/grafana,9,complete,4,comment,structural|tests|quality|architect|security,-,26218,7886,66.4,review-celmis-bench_grafana_9.log
celmis-bench/grafana,10,partial,0,comment,structural|security|quality|tests,architect,16737,7194,53.7,review-celmis-bench_grafana_10.log
celmis-bench/keycloak,1,partial,0,approve,structural|tests|security|architect,quality,34893,20622,75.4,review-celmis-bench_keycloak_1.log
celmis-bench/keycloak,2,complete,1,approve,structural|tests|quality|security|architect,-,55821,22493,81.2,review-celmis-bench_keycloak_2.log
celmis-bench/keycloak,3,complete,2,comment,structural|tests|security|quality|architect,-,18492,16404,68.8,review-celmis-bench_keycloak_3.log
celmis-bench/keycloak,4,partial,6,comment,structural|security|tests|quality,architect,68711,23036,124.8,review-celmis-bench_keycloak_4.log
celmis-bench/keycloak,5,complete,2,changes,structural|tests|security|quality|architect,-,79986,27738,93.1,review-celmis-bench_keycloak_5.log
celmis-bench/keycloak,6,partial,1,comment,structural|security|tests|quality,architect,65970,11716,77.5,review-celmis-bench_keycloak_6.log
celmis-bench/keycloak,7,partial,1,comment,structural|tests|security|quality,architect,54921,13472,68.3,review-celmis-bench_keycloak_7.log
celmis-bench/keycloak,8,complete,3,comment,structural|quality|security|tests|architect,-,50328,18029,122.2,review-celmis-bench_keycloak_8.log
celmis-bench/keycloak,9,complete,1,comment,structural|quality|architect|tests|security,-,7622,8641,30.2,review-celmis-bench_keycloak_9.log
celmis-bench/sentry,1,complete,7,comment,structural|security|tests|quality|architect,-,39564,20998,109.4,review-celmis-bench_sentry_1.log
celmis-bench/sentry,2,partial,2,comment,structural|security|tests|architect,quality,30847,20573,116.1,review-celmis-bench_sentry_2.log
celmis-bench/sentry,3,complete,1,comment,structural|security|tests|quality|architect,-,27432,13773,128.0,review-celmis-bench_sentry_3.log
celmis-bench/sentry,4,complete,2,comment,structural|tests|security|quality|architect,-,25810,7689,73.3,review-celmis-bench_sentry_4.log
celmis-bench/sentry,5,partial,0,comment,structural|security|tests|quality,architect,66951,22416,283.5,review-celmis-bench_sentry_5.log
celmis-bench/sentry,6,partial,2,comment,structural|security|quality|tests,architect,38108,10579,148.9,review-celmis-bench_sentry_6.log
celmis-bench/sentry-greptile,1,complete,5,changes,structural|tests|architect|quality|security,-,15891,14035,117.0,review-celmis-bench_sentry-greptile_1.log
celmis-bench/sentry-greptile,2,partial,2,comment,structural|tests|quality,security|architect,35552,14299,86.5,review-celmis-bench_sentry-greptile_2.log
celmis-bench/sentry-greptile,3,complete,4,comment,structural|tests|quality|security|architect,-,48295,21678,173.6,review-celmis-bench_sentry-greptile_3.log
celmis-bench/sentry-greptile,4,partial,1,comment,structural|security|tests|architect,quality,76867,18709,270.1,review-celmis-bench_sentry-greptile_4.log
